cycle,N(t),Ne-heterozygosity,Ne-inbreeding
50752,1500,1608.06,1526.5
50753,1500,1606.12,1532.22
50754,1500,1610.25,1520.81
50755,1500,1605.39,1511.1
50756,1500,1601.35,1460.51
50757,1500,1604.53,1557.17
50758,1500,1603.32,1507.04
50759,1500,1603.66,1501.0
50760,1500,1605.91,1506.54
50761,1500,1603.59,1459.57
50762,1500,1605.05,1495.51
50763,1500,1603.26,1495.01
50764,1500,1603.13,1496.5
50765,1500,1600.03,1487.59
50766,1500,1600.45,1502.01
50767,1500,1601.05,1500.5
50768,1500,1604.53,1453.43
50769,1500,1605.16,1550.73
50770,1500,1603.38,1489.56
50771,1500,1603.23,1524.94
50772,1500,1604.16,1494.02
50773,1500,1603.89,1511.1
50774,1500,1604.35,1514.66
50775,1500,1608.66,1464.8
50776,1500,1608.76,1557.71
50777,1500,1610.9,1486.6
50778,1500,1608.46,1483.17
50779,1500,1607.87,1488.08
50780,28,1576.87,98.6087
50781,28,1532.75,22.4308
50782,28,1533.44,31.6957
50783,28,1522.2,29.16
50784,28,1477.12,24.7119
50785,28,1400.87,24.3
50786,28,1313.15,22.7812
50787,28,1355.47,31.0213
50788,28,1286.2,23.5161
50789,28,1272.99,29.16
50790,28,1284.03,32.4
50791,28,1246.33,28.5882
50792,28,1234.81,23.9016
50793,28,1187.11,26.0357
50794,28,1157.64,26.0357
50795,28,1183.0,26.0357
50796,28,1094.82,23.5161
50797,28,995.146,29.16
50798,28,966.302,20.8286
50799,28,870.641,31.6957
50800,28,840.058,22.7812
